filename,cmp1_tR_min,cmp1_area_mV_min,cmp2_tR_min,cmp2_area_mV_min
2m2boh1.gcd,4.9695,14327.3547,5.7469,5198.2069
2m2boh2.gcd,5.0242,21882.2732,5.7829,5500.4235
2m2boh3.gcd,5.0035,18656.1988,5.7322,3054.3499
2m2boh4.gcd,5.0075,18693.3383,5.6976,1395.2285
2m2boh5.gcd,5.0222,20974.5513,5.6849,570.9112

median_tR,,5.0075,,5.7322
tR_std,,0.0220,,0.0393
mean_area,,18906.7433,,3143.8240
std_area,,2924.4111,,2205.6474
rsd_pct,,15.47,,70.16
n_detected,,5,,5
