filename,peak_n,tR_min,height_mV,area_mV_min,left_min,right_min
beta2.gcd,5,14.4026,845.74,30.8025,14.3352,14.4566
beta2.gcd,6,14.8959,89.03,2.2288,14.8306,14.9966
beta2.gcd,7,15.2399,68.01,2.2158,15.0913,15.4313
beta2.gcd,8,15.7353,89.42,1.9017,15.6966,15.7966
beta2.gcd,9,15.8566,137.78,7.2060,15.7966,16.0780
beta3.gcd,1,5.0109,81269.87,19158.4560,4.6442,5.8416
beta3.gcd,2,5.8762,50.72,0.5902,5.8416,5.9076
beta3.gcd,3,13.0885,350.89,16.0898,13.0438,13.1805
beta3.gcd,4,13.2292,170.00,4.3387,13.1805,13.3125
beta3.gcd,5,13.9999,22838.41,3604.1649,13.3125,14.3192
beta3.gcd,6,14.3806,580.97,20.2460,14.3192,14.4379
beta3.gcd,7,14.8899,100.07,1.5076,14.8139,14.9766
beta3.gcd,8,15.7246,101.11,1.3248,15.6873,15.7960
beta3.gcd,9,15.8586,119.48,4.7424,15.7960,16.2386
beta4.gcd,1,5.0055,79844.64,18636.7516,4.6475,5.8389
beta4.gcd,2,5.8729,53.95,0.5651,5.8389,5.9029
beta4.gcd,3,13.0818,282.14,8.4273,13.0398,13.1792
beta4.gcd,4,13.2212,145.36,2.4104,13.1792,13.2879
beta4.gcd,5,13.9412,15064.26,1832.4719,13.2879,14.2939
beta4.gcd,6,14.3526,270.39,8.6804,14.2939,14.4159
beta5.gcd,1,5.0089,80351.32,19032.0476,4.6462,5.8409
beta5.gcd,2,5.8742,54.90,0.6104,5.8409,5.9069
beta5.gcd,3,13.0738,146.61,3.3047,13.0332,13.1272
beta5.gcd,4,13.2139,85.16,0.9521,13.1785,13.2725
beta5.gcd,5,13.8799,8366.44,727.0603,13.2725,14.2779
beta5.gcd,6,14.3259,112.26,2.2464,14.2779,14.4019
gamma1.gcd,1,4.9722,69431.37,14430.6704,4.6488,7.8330
gamma1.gcd,2,13.4632,63.54,9.4059,13.0038,14.4812
gamma1.gcd,3,15.0459,57.25,2.9302,14.9673,15.3266
gamma1.gcd,4,16.2140,23605.74,5580.1215,15.3613,16.3860
gamma1.gcd,5,16.4726,76.73,1.2614,16.3860,16.5080
gamma2.gcd,1,4.9795,72625.88,15508.2346,4.6488,7.8363
gamma2.gcd,2,13.4772,63.27,6.1933,12.9945,13.6092
gamma2.gcd,3,15.5979,72.21,8.3973,15.3646,15.7219
gamma2.gcd,4,16.1580,20803.31,4398.9706,15.7219,17.0007
gamma3.gcd,1,4.9889,74390.80,16554.7772,4.6468,7.8516
gamma3.gcd,2,13.4632,61.67,2.5457,13.3725,13.6039
gamma3.gcd,3,15.4233,66.51,6.1445,15.3559,15.7033
gamma3.gcd,4,16.0913,16679.38,2938.1841,15.7219,17.0007
gamma4.gcd,1,4.9962,77366.94,17394.0425,4.6455,7.8490
gamma4.gcd,2,13.4519,54.74,1.2566,13.3732,13.5612
gamma4.gcd,3,15.4226,63.81,3.1186,15.3533,15.6839
gamma4.gcd,4,16.0000,11156.64,1488.7364,15.7266,17.0007
gamma5.gcd,1,4.9989,78645.45,17972.5340,4.6448,7.8376
gamma5.gcd,2,15.9093,5996.97,581.1465,15.7199,17.0007
mibk1.gcd,1,4.9782,70848.66,15813.2584,4.6395,5.6156
mibk1.gcd,2,5.8516,52043.82,6536.0958,5.6156,7.7930
mibk2.gcd,1,4.9889,73504.25,16762.1944,4.6395,5.6202
mibk2.gcd,2,5.8409,46855.76,5436.3061,5.6202,7.7863
mibk3.gcd,1,4.9962,76043.19,17647.2386,4.6408,5.6302
mibk3.gcd,2,5.8096,34169.65,3164.8621,5.6302,7.7090
mibk4.gcd,1,5.0035,78566.93,18597.8233,4.6408,5.6382
mibk4.gcd,2,5.7762,20502.22,1301.7425,5.6382,5.8522
mibk4.gcd,3,5.8769,77.82,0.7763,5.8522,5.9142
mibk5.gcd,1,5.0215,85329.36,21182.2815,4.6375,5.6516
mibk5.gcd,2,5.7716,12685.59,664.6844,5.6516,7.1929
